start,end,duration,activity,returnCode
2017-08-02 13:00:41.093000,2017-08-02 13:23:47.093000,0:23:06.000000,offline,0
2017-08-02 13:23:47.093000,2017-08-02 13:23:59.718000,0:00:12.625000,printing,0
2017-08-02 13:23:59.718000,2017-08-02 13:27:18.718000,0:03:19.000000,breaks,0
2017-08-02 13:27:18.718000,2017-08-02 13:28:48.718000,0:01:30.000000,breaks,0
2017-08-02 13:28:48.718000,2017-08-02 13:42:22.375000,0:13:33.657000,copyFiles,0
2017-08-02 13:42:22.375000,2017-08-02 13:51:26.236000,0:09:03.861000,private,0
2017-08-02 13:51:26.251000,2017-08-02 14:01:26.282000,0:10:00.031000,browsing,-1
2017-08-02 14:01:26.290000,2017-08-02 14:01:40.553000,0:00:14.263000,browsing,0
2017-08-02 14:01:40.560000,2017-08-02 14:01:56.539000,0:00:15.979000,browsing,0
2017-08-02 14:01:56.546000,2017-08-02 14:02:36.699000,0:00:40.153000,printing,0
2017-08-02 14:02:36.704000,2017-08-02 14:04:23.718000,0:01:47.014000,breaks,0
2017-08-02 14:04:23.734000,2017-08-02 14:30:32.734000,0:26:09.000000,offline,0
2017-08-02 14:30:32.734000,2017-08-02 14:32:24.390000,0:01:51.656000,copyFiles,0
2017-08-02 14:32:24.406000,2017-08-02 14:32:48.923000,0:00:24.517000,browsing,0
2017-08-02 14:32:48.923000,2017-08-02 15:21:22.923000,0:48:34.000000,offline,0
2017-08-02 15:21:22.923000,2017-08-02 15:24:08.341000,0:02:45.418000,private,0
2017-08-02 15:24:08.341000,2017-08-02 15:57:05.357000,0:32:57.016000,meeting,0
2017-08-02 15:57:05.388000,2017-08-02 15:57:35.498000,0:00:30.110000,printing,0
2017-08-02 15:57:35.513000,2017-08-02 15:58:47.324000,0:01:11.811000,private,0
2017-08-02 15:58:47.324000,2017-08-02 17:45:51.324000,1:47:04.000000,meeting,0
2017-08-03 10:03:20.921000,2017-08-03 10:06:00.921000,0:02:40.000000,breaks,0
2017-08-03 10:06:00.921000,2017-08-03 10:08:53.257000,0:02:52.336000,browsing,0
2017-08-03 10:08:53.273000,2017-08-03 10:10:30.273000,0:01:37.000000,breaks,0
2017-08-03 10:10:30.273000,2017-08-03 10:20:28.809000,0:09:58.536000,browsing,0
2017-08-03 10:20:28.809000,2017-08-03 10:44:20.809000,0:23:52.000000,meeting,0
2017-08-03 10:44:20.809000,2017-08-03 10:54:20.875000,0:10:00.066000,browsing,-1
2017-08-03 10:54:20.884000,2017-08-03 11:02:04.778000,0:07:43.894000,browsing,0
2017-08-03 11:02:04.787000,2017-08-03 11:10:40.082000,0:08:35.295000,private,0
2017-08-03 11:10:40.091000,2017-08-03 11:15:00.093000,0:04:20.002000,breaks,0
2017-08-03 11:15:00.104000,2017-08-03 11:36:35.108000,0:21:35.004000,breaks,0
2017-08-03 11:36:35.119000,2017-08-03 11:40:41.793000,0:04:06.674000,browsing,0
2017-08-03 11:40:41.802000,2017-08-03 11:42:51.424000,0:02:09.622000,browsing,0
2017-08-03 11:42:51.448000,2017-08-03 11:45:03.261000,0:02:11.813000,browsing,0
2017-08-03 11:45:03.267000,2017-08-03 12:00:51.270000,0:15:48.003000,offline,0
2017-08-03 12:00:51.282000,2017-08-03 12:10:51.364000,0:10:00.082000,private,-1
2017-08-03 12:10:51.378000,2017-08-03 12:16:37.095000,0:05:45.717000,browsing,0
2017-08-03 12:16:37.104000,2017-08-03 12:18:54.264000,0:02:17.160000,copyFiles,0
2017-08-03 12:18:54.275000,2017-08-03 12:35:18.309000,0:16:24.034000,offline,0
2017-08-03 12:35:18.323000,2017-08-03 12:37:32.022000,0:02:13.699000,private,0
2017-08-03 12:37:32.040000,2017-08-03 12:38:29.647000,0:00:57.607000,browsing,0
2017-08-03 12:38:30.683000,2017-08-03 12:43:21.685000,0:04:51.002000,breaks,0
2017-08-03 12:43:21.699000,2017-08-03 12:55:40.703000,0:12:19.004000,offline,0
2017-08-03 12:55:40.714000,2017-08-03 14:13:50.718000,1:18:10.004000,meeting,0
2017-08-03 14:13:50.730000,2017-08-03 14:15:34.840000,0:01:44.110000,browsing,0
2017-08-03 14:15:34.853000,2017-08-03 14:17:04.760000,0:01:29.907000,browsing,0
2017-08-03 14:17:04.771000,2017-08-03 14:19:36.978000,0:02:32.207000,browsing,0
2017-08-03 14:19:36.987000,2017-08-03 14:25:45.971000,0:06:08.984000,browsing,0
2017-08-03 14:25:45.982000,2017-08-03 15:07:38.195000,0:41:52.213000,offline,0
2017-08-03 15:07:38.207000,2017-08-03 15:17:39.079000,0:10:00.872000,private,-1
2017-08-03 15:17:39.087000,2017-08-03 15:18:37.652000,0:00:58.565000,mailing,0
2017-08-03 15:18:37.661000,2017-08-03 15:18:48.263000,0:00:10.602000,printing,0
2017-08-03 15:18:48.272000,2017-08-03 15:21:19.611000,0:02:31.339000,browsing,0
2017-08-03 15:21:19.623000,2017-08-03 15:53:18.625000,0:31:59.002000,meeting,0
2017-08-03 15:53:18.635000,2017-08-03 15:53:48.790000,0:00:30.155000,printing,0
2017-08-03 15:53:48.796000,2017-08-03 16:02:41.166000,0:08:52.370000,copyFiles,0
2017-08-03 16:02:41.174000,2017-08-03 16:03:55.345000,0:01:14.171000,browsing,0
2017-08-03 16:03:55.355000,2017-08-03 16:05:10.322000,0:01:14.967000,copyFiles,0
2017-08-03 16:05:10.350000,2017-08-03 16:06:01.347000,0:00:50.997000,mailing,0
2017-08-03 16:06:01.362000,2017-08-03 16:06:52.028000,0:00:50.666000,mailing,0
2017-08-03 16:06:52.037000,2017-08-03 16:16:52.079000,0:10:00.042000,browsing,-1
2017-08-03 16:16:52.092000,2017-08-03 16:26:13.372000,0:09:21.280000,private,0
2017-08-03 16:26:13.384000,2017-08-03 16:27:54.202000,0:01:40.818000,browsing,0
2017-08-03 16:27:54.213000,2017-08-03 16:32:27.843000,0:04:33.630000,browsing,0
2017-08-03 16:32:27.853000,2017-08-03 16:42:27.883000,0:10:00.030000,private,-1
2017-08-03 16:42:27.892000,2017-08-03 16:43:19.309000,0:00:51.417000,mailing,0
2017-08-03 16:43:19.319000,2017-08-03 16:47:10.321000,0:03:51.002000,breaks,0
2017-08-03 16:47:10.333000,2017-08-03 16:52:03.339000,0:04:53.006000,breaks,0
2017-08-03 16:52:03.373000,2017-08-03 17:02:03.423000,0:10:00.050000,browsing,-1
2017-08-07 10:07:48.671000,2017-08-07 10:07:56.439000,0:00:07.768000,browsing,0
2017-08-07 10:07:56.439000,2017-08-07 10:08:04.396000,0:00:07.957000,browsing,0
2017-08-07 10:08:04.396000,2017-08-07 10:12:42.396000,0:04:38.000000,breaks,0
2017-08-07 10:12:42.396000,2017-08-07 10:34:28.396000,0:21:46.000000,offline,0
2017-08-07 10:34:28.396000,2017-08-07 10:35:45.262000,0:01:16.866000,browsing,0
2017-08-07 10:35:45.262000,2017-08-07 10:39:00.262000,0:03:15.000000,breaks,0
2017-08-07 10:39:00.262000,2017-08-07 10:39:21.293000,0:00:21.031000,mailing,-1
2017-08-07 10:39:21.293000,2017-08-07 10:39:28.485000,0:00:07.192000,browsing,0
2017-08-07 10:39:28.485000,2017-08-07 10:39:35.320000,0:00:06.835000,browsing,0
2017-08-07 10:39:35.320000,2017-08-07 10:40:25.429000,0:00:50.109000,printing,0
2017-08-07 10:40:25.429000,2017-08-07 10:43:08.842000,0:02:43.413000,browsing,0
2017-08-07 10:43:08.842000,2017-08-07 10:45:02.592000,0:01:53.750000,copyFiles,0
2017-08-07 10:45:02.592000,2017-08-07 10:48:54.592000,0:03:52.000000,breaks,0
2017-08-07 10:48:54.592000,2017-08-07 10:52:15.452000,0:03:20.860000,copyFiles,0
2017-08-07 10:52:15.452000,2017-08-07 10:52:24.159000,0:00:08.707000,browsing,0
