2017-08-02 09:03:13.815523,2017-08-02 09:07:34.982053,0:04:21.166530,browsing,0
2017-08-02 09:07:34.987036,2017-08-02 09:52:02.088446,0:44:27.101410,offline,0
2017-08-02 09:52:02.096111,2017-08-02 11:30:14.198036,1:38:12.101925,meeting,0
2017-08-03 11:44:26.106831,2017-08-03 12:24:55.691534,0:40:29.584703,browsing,0
2017-08-03 12:24:55.723971,2017-08-03 16:57:47.586017,4:32:51.862046,browsing,0
2017-08-03 16:57:47.594680,2017-08-03 18:16:02.695745,1:18:15.101065,meeting,0
2017-08-03 18:16:02.708982,2017-08-03 19:05:23.810678,0:49:21.101696,offline,0
2017-08-04 09:15:12.250203,2017-08-04 09:16:57.221446,0:01:44.971243,browsing,0
2017-08-04 09:16:57.226296,2017-08-04 09:17:59.315613,0:01:02.089317,browsing,0
2017-08-04 09:17:59.321790,2017-08-04 09:20:50.034489,0:02:50.712699,browsing,0
2017-08-04 09:20:50.039541,2017-08-04 09:23:47.568342,0:02:57.528801,browsing,0
2017-08-04 09:23:47.573470,2017-08-04 09:25:22.085036,0:01:34.511566,private,0
2017-08-04 09:25:22.089980,2017-08-04 10:49:52.190818,1:24:30.100838,meeting,0
2017-08-04 10:49:52.211158,2017-08-04 10:50:39.278382,0:00:47.067224,private,0
2017-08-04 17:41:46.426290,2017-08-04 17:43:24.525346,0:01:38.099056,breaks,0
2017-08-04 17:43:24.544888,2017-08-05 09:04:35.207796,15:21:10.662908,browsing,0
2017-08-07 09:04:00.982331,2017-08-07 09:09:21.381036,0:05:20.398705,copyFiles,0
2017-08-07 09:09:21.386385,2017-08-07 09:46:41.487317,0:37:20.100932,offline,0
2017-08-07 09:46:41.495576,2017-08-07 09:47:13.860818,0:00:32.365242,browsing,0
2017-08-07 09:47:13.867359,2017-08-07 09:48:42.561211,0:01:28.693852,private,0
2017-08-07 09:48:42.567440,2017-08-07 09:57:44.799092,0:09:02.231652,browsing,0
2017-08-07 09:57:44.805402,2017-08-07 09:59:27.796418,0:01:42.991016,browsing,0
2017-08-07 09:59:27.802666,2017-08-07 10:00:11.765605,0:00:43.962939,browsing,0
2017-08-07 10:00:11.771911,2017-08-07 11:19:30.873400,1:19:19.101489,meeting,0
2017-08-07 11:19:30.891273,2017-08-07 11:39:48.163417,0:20:17.272144,browsing,0
2017-08-07 11:39:48.173810,2017-08-07 11:41:55.963591,0:02:07.789781,browsing,0
2017-08-07 11:41:55.970416,2017-08-07 11:49:06.367833,0:07:10.397417,private,0
2017-08-07 11:49:06.374093,2017-08-07 11:49:21.725934,0:00:15.351841,browsing,0
2017-08-07 11:49:21.731178,2017-08-07 12:35:23.829506,0:46:02.098328,offline,0
2017-08-07 12:35:23.838311,2017-08-07 12:53:37.939765,0:18:14.101454,meeting,0
2017-08-07 12:53:37.946986,2017-08-07 12:57:16.895614,0:03:38.948628,browsing,0
2017-08-07 12:57:16.901853,2017-08-07 12:57:22.637580,0:00:05.735727,browsing,0
2017-08-07 12:57:22.643266,2017-08-07 13:05:54.812308,0:08:32.169042,private,0
2017-08-07 13:05:54.818711,2017-08-07 13:15:54.826646,0:10:00.007935,browsing,-9
2017-08-07 13:15:54.832526,2017-08-07 13:17:16.576740,0:01:21.744214,browsing,0
2017-08-07 13:17:16.582735,2017-08-07 13:23:31.885912,0:06:15.303177,browsing,0
2017-08-07 13:23:31.892553,2017-08-07 13:26:37.057929,0:03:05.165376,browsing,0
2017-08-07 13:26:37.065583,2017-08-07 18:34:50.454335,5:08:13.388752,browsing,0
2017-08-07 18:34:50.464617,2017-08-07 18:34:57.047309,0:00:06.582692,browsing,0
2017-08-07 18:34:57.054257,2017-08-07 18:44:57.063931,0:10:00.009674,browsing,-9
2017-08-07 18:44:57.069800,2017-08-07 18:46:12.699989,0:01:15.630189,browsing,0
2017-08-07 18:46:12.706159,2017-08-07 18:48:12.542020,0:01:59.835861,browsing,0
2017-08-07 18:48:12.550008,2017-08-07 18:52:02.741798,0:03:50.191790,browsing,0
2017-08-07 18:52:02.748065,2017-08-07 18:52:58.770618,0:00:56.022553,copyFiles,0
2017-08-07 18:52:58.778317,2017-08-07 18:56:00.488811,0:03:01.710494,browsing,0
2017-08-08 10:00:16.631075,2017-08-08 10:00:19.633087,0:00:03.002012,mailing,-1
2017-08-08 10:00:19.637312,2017-08-08 10:01:48.458135,0:01:28.820823,browsing,0
2017-08-08 14:11:11.166952,2017-08-08 14:11:47.408292,0:00:36.241340,copyFiles,0
2017-08-08 14:11:47.414334,2017-08-08 14:12:42.913899,0:00:55.499565,browsing,0
2017-08-10 09:00:15.355451,2017-08-10 09:02:05.801080,0:01:50.445629,browsing,0
