start,end,duration,activity,returnCode
2017-08-02 09:02:23.425304,2017-08-02 09:08:46.329587,0:06:22.904283,browsing,0
2017-08-02 09:08:46.334537,2017-08-02 09:09:55.453323,0:01:09.118786,browsing,0
2017-08-02 09:09:55.459736,2017-08-02 09:12:36.597974,0:02:41.138238,browsing,0
2017-08-02 09:12:36.604286,2017-08-02 09:14:30.091173,0:01:53.486887,browsing,0
2017-08-02 09:14:30.096302,2017-08-02 09:15:14.195052,0:00:44.098750,browsing,0
2017-08-02 09:15:14.201476,2017-08-02 09:21:51.583296,0:06:37.381820,browsing,0
2017-08-02 09:21:51.603542,2017-08-02 09:23:42.188868,0:01:50.585326,browsing,0
2017-08-02 09:23:42.198737,2017-08-02 09:25:02.471469,0:01:20.272732,browsing,0
2017-08-02 09:25:02.477999,2017-08-02 09:39:59.579514,0:14:57.101515,offline,0
2017-08-02 09:39:59.585839,2017-08-02 09:41:13.527906,0:01:13.942067,browsing,0
2017-08-02 09:41:13.534302,2017-08-02 09:45:10.147942,0:03:56.613640,browsing,0
2017-08-02 09:45:10.154367,2017-08-02 10:10:12.255791,0:25:02.101424,offline,0
2017-08-02 10:10:12.262580,2017-08-02 10:11:15.034336,0:01:02.771756,browsing,0
2017-08-02 10:11:15.042210,2017-08-02 10:13:54.368182,0:02:39.325972,browsing,0
2017-08-02 10:13:54.374175,2017-08-02 10:15:15.141323,0:01:20.767148,browsing,0
2017-08-02 10:15:15.147291,2017-08-02 10:15:50.649490,0:00:35.502199,printing,0
2017-08-02 10:15:50.661564,2017-08-02 10:16:44.257714,0:00:53.596150,browsing,0
2017-08-02 10:16:44.264001,2017-08-02 10:19:35.952554,0:02:51.688553,browsing,0
2017-08-02 10:19:35.958864,2017-08-02 10:22:42.193917,0:03:06.235053,browsing,0
2017-08-02 10:22:42.199538,2017-08-02 10:23:17.505663,0:00:35.306125,printing,0
2017-08-02 10:23:17.511733,2017-08-02 10:23:44.434342,0:00:26.922609,printing,0
2017-08-02 10:23:44.439881,2017-08-02 10:24:53.006527,0:01:08.566646,browsing,0
2017-08-02 10:24:53.012721,2017-08-02 10:31:41.522545,0:06:48.509824,browsing,0
2017-08-02 10:31:41.528957,2017-08-02 10:32:03.858681,0:00:22.329724,browsing,0
2017-08-02 10:32:03.863839,2017-08-02 11:44:56.965954,1:12:53.102115,meeting,0
2017-08-02 11:44:56.973957,2017-08-02 11:46:59.735869,0:02:02.761912,browsing,0
2017-08-02 11:46:59.741365,2017-08-02 11:48:10.808289,0:01:11.066924,browsing,0
2017-08-02 11:48:10.814026,2017-08-02 12:30:01.915753,0:41:51.101727,offline,0
2017-08-02 12:30:01.922724,2017-08-02 12:38:27.960995,0:08:26.038271,browsing,0
2017-08-02 12:38:27.967327,2017-08-02 12:42:33.495014,0:04:05.527687,browsing,0
2017-08-02 12:42:33.501140,2017-08-02 12:47:07.694625,0:04:34.193485,browsing,0
2017-08-02 12:47:07.700105,2017-08-02 13:03:13.801809,0:16:06.101704,offline,0
2017-08-02 13:03:13.809012,2017-08-02 13:04:23.918107,0:01:10.109095,browsing,0
2017-08-02 13:04:23.924916,2017-08-02 13:51:52.024951,0:47:28.100035,offline,0
2017-08-02 13:51:52.032119,2017-08-02 13:56:43.400825,0:04:51.368706,browsing,0
2017-08-02 13:56:43.407215,2017-08-02 14:12:36.508893,0:15:53.101678,offline,0
2017-08-02 14:12:36.516479,2017-08-02 14:13:13.438934,0:00:36.922455,browsing,0
2017-08-02 14:13:13.444460,2017-08-02 14:48:29.546149,0:35:16.101689,offline,0
2017-08-02 14:48:29.553083,2017-08-02 14:50:47.849424,0:02:18.296341,browsing,0
2017-08-02 14:50:47.855614,2017-08-02 14:51:00.911087,0:00:13.055473,browsing,0
2017-08-02 14:51:00.916537,2017-08-02 14:51:48.973842,0:00:48.057305,browsing,0
2017-08-02 14:51:48.979901,2017-08-02 14:51:56.914382,0:00:07.934481,browsing,0
2017-08-02 14:51:56.919250,2017-08-02 14:53:31.288920,0:01:34.369670,browsing,0
2017-08-02 14:53:31.294702,2017-08-02 14:55:22.533429,0:01:51.238727,browsing,0
2017-08-02 14:55:22.540029,2017-08-02 14:58:13.493259,0:02:50.953230,browsing,0
2017-08-02 14:58:13.499582,2017-08-02 15:18:17.601381,0:20:04.101799,offline,0
2017-08-02 15:18:17.608688,2017-08-02 15:22:04.254177,0:03:46.645489,copyFiles,0
2017-08-02 15:22:04.260067,2017-08-02 15:32:37.361100,0:10:33.101033,offline,0
2017-08-02 15:32:37.368039,2017-08-02 15:34:41.469695,0:02:04.101656,breaks,0
2017-08-02 15:34:41.479120,2017-08-02 16:04:20.580778,0:29:39.101658,offline,0
2017-08-02 16:04:20.603147,2017-08-02 16:05:12.861832,0:00:52.258685,browsing,0
2017-08-02 16:05:12.867793,2017-08-02 16:05:23.208303,0:00:10.340510,browsing,0
2017-08-02 16:05:23.214754,2017-08-02 16:05:34.563127,0:00:11.348373,browsing,0
2017-08-02 16:05:34.569584,2017-08-02 16:19:29.671333,0:13:55.101749,offline,0
2017-08-02 16:19:29.678234,2017-08-02 16:42:39.779961,0:23:10.101727,offline,0
2017-08-02 16:42:39.787238,2017-08-02 16:51:04.889037,0:08:25.101799,offline,0
2017-08-02 16:51:04.896817,2017-08-02 16:55:36.392397,0:04:31.495580,browsing,0
2017-08-02 16:55:36.398655,2017-08-02 16:56:28.918486,0:00:52.519831,browsing,0
2017-08-02 16:56:28.925202,2017-08-02 16:59:54.676221,0:03:25.751019,browsing,0
2017-08-02 16:59:54.682825,2017-08-02 17:00:55.360203,0:01:00.677378,mailing,0
2017-08-03 09:02:25.762123,2017-08-03 09:41:55.863120,0:39:30.100997,meeting,0
2017-08-03 09:41:55.868358,2017-08-03 09:53:21.059567,0:11:25.191209,copyFiles,0
2017-08-03 09:53:21.065728,2017-08-03 09:55:15.583054,0:01:54.517326,browsing,0
2017-08-03 09:55:15.590310,2017-08-03 09:55:23.379771,0:00:07.789461,browsing,0
2017-08-03 09:55:23.385956,2017-08-03 10:24:06.488481,0:28:43.102525,offline,0
2017-08-03 10:24:06.496078,2017-08-03 10:25:06.676137,0:01:00.180059,browsing,0
2017-08-03 10:25:06.682700,2017-08-03 10:27:09.651328,0:02:02.968628,browsing,0
2017-08-03 10:27:09.657140,2017-08-03 10:35:58.386783,0:08:48.729643,browsing,0
2017-08-03 10:35:58.393313,2017-08-03 10:45:58.398686,0:10:00.005373,browsing,-1
2017-08-03 10:45:58.405524,2017-08-03 11:15:46.438797,0:29:48.033273,offline,0
2017-08-03 11:15:46.445335,2017-08-03 11:18:08.599190,0:02:22.153855,browsing,0
2017-08-03 11:18:08.605510,2017-08-03 11:25:49.785795,0:07:41.180285,browsing,0
2017-08-03 11:25:49.792247,2017-08-03 11:25:55.921972,0:00:06.129725,browsing,0
2017-08-03 11:25:55.927958,2017-08-03 11:28:37.011896,0:02:41.083938,browsing,0
2017-08-03 11:28:37.017722,2017-08-03 11:30:33.893107,0:01:56.875385,browsing,0
2017-08-03 11:30:33.899449,2017-08-03 11:54:57.974025,0:24:24.074576,offline,0
2017-08-03 11:54:57.981256,2017-08-03 11:57:37.419396,0:02:39.438140,browsing,0
2017-08-03 11:57:37.425615,2017-08-03 12:19:50.438761,0:22:13.013146,offline,0
2017-08-03 12:19:50.458372,2017-08-03 12:29:50.466068,0:10:00.007696,browsing,-1
2017-08-03 12:29:50.471676,2017-08-03 12:31:34.142308,0:01:43.670632,browsing,0
2017-08-03 12:31:34.149255,2017-08-03 12:33:52.178158,0:02:18.028903,browsing,0
2017-08-03 12:33:52.183923,2017-08-03 12:34:38.079327,0:00:45.895404,browsing,0
2017-08-03 12:34:38.103116,2017-08-03 12:42:01.935993,0:07:23.832877,browsing,0
2017-08-03 12:42:01.953855,2017-08-03 12:44:32.970092,0:02:31.016237,offline,0
2017-08-03 12:44:32.977443,2017-08-03 12:46:32.444819,0:01:59.467376,browsing,0
2017-08-03 12:46:32.450664,2017-08-03 13:29:34.473522,0:43:02.022858,offline,0
2017-08-03 13:29:34.486129,2017-08-03 13:29:51.256684,0:00:16.770555,browsing,0
2017-08-03 13:29:51.296371,2017-08-03 13:52:04.337191,0:22:13.040820,offline,0
2017-08-03 13:52:04.344570,2017-08-03 13:54:52.724320,0:02:48.379750,browsing,0
2017-08-03 13:54:52.729643,2017-08-03 13:58:24.212283,0:03:31.482640,browsing,0
2017-08-03 13:58:24.218336,2017-08-03 14:04:24.277513,0:06:00.059177,browsing,0
2017-08-03 14:04:24.283727,2017-08-03 14:13:28.776206,0:09:04.492479,browsing,0
2017-08-03 14:13:28.782580,2017-08-03 14:14:48.609912,0:01:19.827332,browsing,0
2017-08-03 14:14:48.617058,2017-08-03 14:19:55.620954,0:05:07.003896,offline,0
2017-08-03 14:19:55.628197,2017-08-03 14:20:20.623480,0:00:24.995283,browsing,0
2017-08-03 14:20:20.629900,2017-08-03 14:22:07.057142,0:01:46.427242,browsing,0
2017-08-03 14:22:07.062765,2017-08-03 14:31:44.092141,0:09:37.029376,offline,0
2017-08-03 14:31:44.099370,2017-08-03 14:32:07.384364,0:00:23.284994,browsing,0
2017-08-03 14:32:07.390765,2017-08-03 14:32:27.411466,0:00:20.020701,browsing,0
2017-08-03 14:32:27.417199,2017-08-03 14:33:19.578324,0:00:52.161125,browsing,0
2017-08-03 14:33:19.585110,2017-08-03 14:36:21.029641,0:03:01.444531,browsing,0
2017-08-03 14:36:21.035934,2017-08-03 14:40:44.882025,0:04:23.846091,browsing,0
2017-08-03 14:40:44.888614,2017-08-03 15:19:26.945986,0:38:42.057372,offline,0
2017-08-03 15:19:26.952264,2017-08-03 15:21:49.857263,0:02:22.904999,browsing,0
2017-08-03 15:21:49.862998,2017-08-03 15:22:55.001861,0:01:05.138863,browsing,0
2017-08-03 15:22:55.007511,2017-08-03 15:40:50.014632,0:17:55.007121,offline,0
2017-08-03 15:40:50.021746,2017-08-03 15:46:38.003577,0:05:47.981831,browsing,0
2017-08-03 15:46:38.010204,2017-08-03 15:49:04.519551,0:02:26.509347,browsing,0
2017-08-03 15:49:04.525321,2017-08-03 15:59:04.529270,0:10:00.003949,browsing,-1
2017-08-03 15:59:04.535318,2017-08-03 16:03:52.531428,0:04:47.996110,browsing,0
2017-08-03 16:03:52.537089,2017-08-03 16:08:52.689663,0:05:00.152574,private,0
2017-08-03 16:08:52.698029,2017-08-03 16:22:16.799415,0:13:24.101386,offline,0
2017-08-03 16:22:16.806887,2017-08-03 16:33:45.871858,0:11:29.064971,offline,0
2017-08-03 16:33:45.878413,2017-08-03 16:39:45.226461,0:05:59.348048,browsing,0
2017-08-03 16:39:45.232561,2017-08-03 16:58:00.272086,0:18:15.039525,offline,0
2017-08-03 16:58:00.279824,2017-08-03 16:59:46.145018,0:01:45.865194,private,0
2017-08-03 16:59:46.151599,2017-08-03 17:02:16.606764,0:02:30.455165,browsing,0
2017-08-04 09:15:20.955286,2017-08-04 09:17:07.879669,0:01:46.924383,browsing,0
2017-08-04 09:17:08.087676,2017-08-04 09:21:07.188712,0:03:59.101036,offline,0
2017-08-04 09:21:07.194000,2017-08-04 09:22:53.092787,0:01:45.898787,browsing,0
2017-08-04 09:22:53.097640,2017-08-04 10:12:34.198678,0:49:41.101038,offline,0
2017-08-04 10:12:34.205950,2017-08-04 10:12:46.656050,0:00:12.450100,browsing,0
2017-08-04 10:12:46.661779,2017-08-04 10:14:10.412910,0:01:23.751131,browsing,0
2017-08-04 10:14:10.417291,2017-08-04 10:14:49.288871,0:00:38.871580,browsing,0
2017-08-04 10:14:49.294734,2017-08-04 10:17:44.263957,0:02:54.969223,browsing,0
2017-08-04 10:17:44.269680,2017-08-04 10:20:06.503837,0:02:22.234157,browsing,0
2017-08-04 10:20:06.509565,2017-08-04 10:21:28.508350,0:01:21.998785,browsing,0
2017-08-04 10:21:28.513648,2017-08-04 10:23:46.213658,0:02:17.700010,browsing,0
2017-08-04 10:23:46.220416,2017-08-04 10:24:01.591227,0:00:15.370811,printing,0
2017-08-04 10:24:01.597369,2017-08-04 10:25:05.427624,0:01:03.830255,browsing,0
2017-08-04 10:25:05.464153,2017-08-04 10:26:35.133111,0:01:29.668958,browsing,0
